station_id,date,pm25_daily,n_rows_combined,year,month,y
KAM,2022-05-24,8.4,1,2022,5,2.1400661634962708
KAM,2022-05-25,3,1,2022,5,1.1314021114911006
KAM,2022-05-26,5.7,1,2022,5,1.7578579175523736
KAM,2022-05-27,4.7,1,2022,5,1.5686159179138452
KAM,2022-05-28,4.2,1,2022,5,1.4586150226995167
KAM,2022-05-29,4.9,1,2022,5,1.6094379124341003
KAM,2022-05-30,4.2,1,2022,5,1.4586150226995167
KAM,2022-05-31,6.2,1,2022,5,1.840549633397487
KAM,2022-06-01,6.3,1,2022,6,1.856297990365626
KAM,2022-06-02,6,1,2022,6,1.8082887711792655
KAM,2022-06-03,5.5,1,2022,6,1.7227665977411035
KAM,2022-06-04,2.2,1,2022,6,0.8329091229351041
KAM,2022-06-05,2.8,1,2022,6,1.0647107369924282
KAM,2022-06-06,1.8,1,2022,6,0.6418538861723948
KAM,2022-06-07,3.7,1,2022,6,1.3350010667323402
KAM,2022-06-08,2.6,1,2022,6,0.9932517730102834
KAM,2022-06-09,3.7,1,2022,6,1.3350010667323402
KAM,2022-06-10,2.8,1,2022,6,1.0647107369924282
KAM,2022-06-11,2.6,1,2022,6,0.9932517730102834
KAM,2022-06-12,3.4,1,2022,6,1.252762968495368
KAM,2022-06-13,3.5,1,2022,6,1.2809338454620642
KAM,2022-06-14,8.4,1,2022,6,2.1400661634962708
KAM,2022-06-15,5.9,1,2022,6,1.791759469228055
KAM,2022-06-16,5,1,2022,6,1.62924053973028
KAM,2022-06-17,5,1,2022,6,1.62924053973028
KAM,2022-06-18,7.4,1,2022,6,2.0149030205422647
KAM,2022-06-19,4.1,1,2022,6,1.4350845252893225
KAM,2022-06-20,7.4,1,2022,6,2.0149030205422647
KAM,2022-06-21,3.6,1,2022,6,1.308332819650179
KAM,2022-06-22,6.4,1,2022,6,1.8718021769015913
KAM,2022-06-23,2.6,1,2022,6,0.9932517730102834
KAM,2022-06-24,7.4,1,2022,6,2.0149030205422647
KAM,2022-06-25,6.7,1,2022,6,1.916922612182061
KAM,2022-06-26,7.6,1,2022,6,2.0412203288596382
KAM,2022-06-27,8.2,1,2022,6,2.116255514802552
KAM,2022-06-28,6.7,1,2022,6,1.916922612182061
KAM,2022-06-29,4.4,1,2022,6,1.5040773967762742
KAM,2022-06-30,6.6,1,2022,6,1.9021075263969203
KAM,2022-07-01,6.4,1,2022,7,1.8718021769015913
KAM,2022-07-02,10.8,1,2022,7,2.388762789235098
KAM,2022-07-03,8.3,1,2022,7,2.128231705849268
KAM,2022-07-04,3,1,2022,7,1.1314021114911006
KAM,2022-07-05,7.3,1,2022,7,2.001480000210124
KAM,2022-07-06,6.2,1,2022,7,1.840549633397487
KAM,2022-07-07,5.7,1,2022,7,1.7578579175523736
KAM,2022-07-08,4.4,1,2022,7,1.5040773967762742
KAM,2022-07-09,7.4,1,2022,7,2.0149030205422647
KAM,2022-07-10,6.2,1,2022,7,1.840549633397487
KAM,2022-07-11,3.9,1,2022,7,1.3862943611198906
KAM,2022-07-12,4.8,1,2022,7,1.5892352051165808
KAM,2022-07-13,4.1,1,2022,7,1.4350845252893225
KAM,2022-07-14,5.3,1,2022,7,1.6863989535702286
KAM,2022-07-15,4.7,1,2022,7,1.5686159179138452
KAM,2022-07-16,4.9,1,2022,7,1.6094379124341003
KAM,2022-07-17,5.9,1,2022,7,1.791759469228055
KAM,2022-07-18,5.3,1,2022,7,1.6863989535702286
KAM,2022-07-19,5.7,1,2022,7,1.7578579175523736
KAM,2022-07-20,6.9,1,2022,7,1.9459101490553132
KAM,2022-07-21,12.8,1,2022,7,2.5572273113676265
KAM,2022-07-22,8.4,1,2022,7,2.1400661634962708
KAM,2022-07-23,7.4,1,2022,7,2.0149030205422647
KAM,2022-07-24,6.2,1,2022,7,1.840549633397487
KAM,2022-07-25,6,1,2022,7,1.8082887711792655
KAM,2022-07-26,5.8,1,2022,7,1.7749523509116736
KAM,2022-07-27,8.5,1,2022,7,2.151762203259462
KAM,2022-07-28,13.5,1,2022,7,2.6100697927420065
KAM,2022-07-29,13.9,1,2022,7,2.6390573296152584
KAM,2022-07-30,9.7,1,2022,7,2.282382385676526
KAM,2022-07-31,9.3,1,2022,7,2.2407096892759584
KAM,2022-08-01,5.9,1,2022,8,1.791759469228055
KAM,2022-08-02,6.5,1,2022,8,1.8870696490323797
KAM,2022-08-03,3.3,1,2022,8,1.2237754316221157
KAM,2022-08-04,3.7,1,2022,8,1.3350010667323402
KAM,2022-08-05,4.8,1,2022,8,1.5892352051165808
KAM,2022-08-06,6.7,1,2022,8,1.916922612182061
KAM,2022-08-07,7.1,1,2022,8,1.9740810260220096
KAM,2022-08-08,5.5,1,2022,8,1.7227665977411035
KAM,2022-08-09,8.5,1,2022,8,2.151762203259462
KAM,2022-08-10,10.7,1,2022,8,2.379546134130174
KAM,2022-08-11,8.8,1,2022,8,2.186051276738094
KAM,2022-08-12,8.5,1,2022,8,2.151762203259462
KAM,2022-08-13,4.6,1,2022,8,1.5475625087160128
KAM,2022-08-14,4.1,1,2022,8,1.4350845252893225
KAM,2022-08-15,4.7,1,2022,8,1.5686159179138452
KAM,2022-08-16,6.9,1,2022,8,1.9459101490553132
KAM,2022-08-17,6.2,1,2022,8,1.840549633397487
KAM,2022-08-18,8.2,1,2022,8,2.116255514802552
KAM,2022-08-19,10,1,2022,8,2.3125354238472138
KAM,2022-08-20,9.5,1,2022,8,2.2617630984737906
KAM,2022-08-21,11.2,1,2022,8,2.424802725718295
KAM,2022-08-22,8.5,1,2022,8,2.151762203259462
KAM,2022-08-23,8.8,1,2022,8,2.186051276738094
KAM,2022-08-24,9.8,1,2022,8,2.2925347571405443
KAM,2022-08-25,9.3,1,2022,8,2.2407096892759584
KAM,2022-08-26,12.2,1,2022,8,2.5095992623783716
KAM,2022-08-27,2.8,1,2022,8,1.0647107369924282
KAM,2022-08-28,4.9,1,2022,8,1.6094379124341003
KAM,2022-08-29,8.4,1,2022,8,2.1400661634962708
KAM,2022-08-30,10.6,1,2022,8,2.3702437414678603
KAM,2022-08-31,10.7,1,2022,8,2.379546134130174
KAM,2022-09-01,15.3,1,2022,9,2.7343675094195836
KAM,2022-09-02,15.5,1,2022,9,2.747270914255491
KAM,2022-09-03,17.9,1,2022,9,2.8903717578961645
KAM,2022-09-04,3.9,1,2022,9,1.3862943611198906
KAM,2022-09-05,3.9,1,2022,9,1.3862943611198906
KAM,2022-09-06,6.6,1,2022,9,1.9021075263969203
KAM,2022-09-07,5.9,1,2022,9,1.791759469228055
KAM,2022-09-08,2.4,1,2022,9,0.9162907318741551
KAM,2022-09-09,5,1,2022,9,1.62924053973028
KAM,2022-09-10,9.7,1,2022,9,2.282382385676526
KAM,2022-09-11,22.5,1,2022,9,3.1179499062782403
KAM,2022-09-12,48.5,1,2022,9,3.883623530906448
KAM,2022-09-13,42.5,1,2022,9,3.751854253275325
KAM,2022-09-14,21.1,1,2022,9,3.054001181677967
KAM,2022-09-15,15.1,1,2022,9,2.7212954278522306
KAM,2022-09-16,6.1,1,2022,9,1.8245492920510458
KAM,2022-09-17,5.7,1,2022,9,1.7578579175523736
KAM,2022-09-18,5.7,1,2022,9,1.7578579175523736
KAM,2022-09-19,6.6,1,2022,9,1.9021075263969203
KAM,2022-09-20,7,1,2022,9,1.9600947840472698
KAM,2022-09-21,8.2,1,2022,9,2.116255514802552
KAM,2022-09-22,14.2,1,2022,9,2.6602595372658615
KAM,2022-09-23,6.8,1,2022,9,1.9315214116032136
KAM,2022-09-24,4.7,1,2022,9,1.5686159179138452
KAM,2022-09-25,6.8,1,2022,9,1.9315214116032136
