Station:Prince George Plaza 400 -  , Date Time                 , PM25    
 ,                           , ug/m3   
 , 12/2/2022 24:00 AM        , 10.4    
 , 12/3/2022 24:00 AM        , 18.1    
 , 12/4/2022 24:00 AM        , 12.4    
 , 12/5/2022 24:00 AM        , 12.3    
 , 12/6/2022 24:00 AM        , 16.6    
 , 12/7/2022 24:00 AM        , 6.3     
 , 12/8/2022 24:00 AM        , 7.0     
 , 12/9/2022 24:00 AM        , 7.9     
 , 12/10/2022 24:00 AM       , 6.0     
 , 12/11/2022 24:00 AM       , 8.0     
 , 12/12/2022 24:00 AM       , 16.0    
 , 12/13/2022 24:00 AM       , 14.3    
 , 12/14/2022 24:00 AM       , 15.8    
 , 12/15/2022 24:00 AM       , 14.5    
 , 12/16/2022 24:00 AM       , 27.1    
 , 12/17/2022 24:00 AM       , 3.4     
 , 12/18/2022 24:00 AM       , 5.6     
 , 12/19/2022 24:00 AM       , 16.7    
 , 12/20/2022 24:00 AM       ,         
 , 12/21/2022 24:00 AM       , 16.7    
 , 12/22/2022 24:00 AM       , 12.6    
 , 12/23/2022 24:00 AM       , 5.9     
 , 12/24/2022 24:00 AM       , 5.1     
 , 12/25/2022 24:00 AM       , 3.6     
 , 12/26/2022 24:00 AM       , 2.9     
 , 12/27/2022 24:00 AM       , 7.5     
 , 12/28/2022 24:00 AM       , 13.7    
 , 12/29/2022 24:00 AM       , 4.3     
 , 12/30/2022 24:00 AM       , 8.2     
 , 12/31/2022 24:00 AM       , 8.5     
 , 1/1/2023 24:00 AM         , 12.3    
 , 1/2/2023 24:00 AM         , 6.7     
 , 1/3/2023 24:00 AM         , 6.5     
 , 1/4/2023 24:00 AM         , 16.7    
 , 1/5/2023 24:00 AM         , 8.3     
 , 1/6/2023 24:00 AM         , 6.4     
 , 1/7/2023 24:00 AM         , 12.0    
 , 1/8/2023 24:00 AM         , 8.3     
 , 1/9/2023 24:00 AM         , 15.2    
 , 1/10/2023 24:00 AM        , 9.6     
 , 1/11/2023 24:00 AM        , 29.4    
 , 1/12/2023 24:00 AM        , 12.3    
 , 1/13/2023 24:00 AM        , 5.1     
 , 1/14/2023 24:00 AM        , 6.3     
 , 1/15/2023 24:00 AM        , 4.2     
 , 1/16/2023 24:00 AM        , 11.9    
 , 1/17/2023 24:00 AM        , 2.3     
 , 1/18/2023 24:00 AM        , 4.0     
 , 1/19/2023 24:00 AM        , 5.6     
 , 1/20/2023 24:00 AM        , 2.9     
 , 1/21/2023 24:00 AM        , 2.9     
 , 1/22/2023 24:00 AM        , 2.5     
 , 1/23/2023 24:00 AM        , 2.0     
 , 1/24/2023 24:00 AM        , 7.7     
 , 1/25/2023 24:00 AM        , 5.6     
 , 1/26/2023 24:00 AM        , 3.3     
 , 1/27/2023 24:00 AM        , 1.4     
 , 1/28/2023 24:00 AM        , 3.3     
 , 1/29/2023 24:00 AM        , 11.2    
 , 1/30/2023 24:00 AM        , 10.7    
 , 1/31/2023 24:00 AM        , 5.5     
 , 2/1/2023 24:00 AM         , 4.5     
 , 2/2/2023 24:00 AM         , 4.0     
 , 2/3/2023 24:00 AM         , 4.2     
 , 2/4/2023 24:00 AM         , 2.1     
 , 2/5/2023 24:00 AM         , 1.4     
 , 2/6/2023 24:00 AM         , 1.6     
 , 2/7/2023 24:00 AM         , 6.5     
 , 2/8/2023 24:00 AM         , 4.2     
 , 2/9/2023 24:00 AM         , 0.9     
 , 2/10/2023 24:00 AM        , 2.0     
 , 2/11/2023 24:00 AM        , 2.1     
 , 2/12/2023 24:00 AM        , 0.9     
 , 2/13/2023 24:00 AM        , 1.8     
 , 2/14/2023 24:00 AM        , 4.0     
 , 2/15/2023 24:00 AM        , 2.8     
 , 2/16/2023 24:00 AM        , 4.8     
 , 2/17/2023 24:00 AM        , 4.7     
 , 2/18/2023 24:00 AM        , 2.5     
 , 2/19/2023 24:00 AM        , 1.3     
 , 2/20/2023 24:00 AM        , 4.3     
 , 2/21/2023 24:00 AM        , 2.4     
 , 2/22/2023 24:00 AM        , 4.0     
 , 2/23/2023 24:00 AM        , 3.6     
 , 2/24/2023 24:00 AM        , 9.9     
 , 2/25/2023 24:00 AM        , 8.3     
 , 2/26/2023 24:00 AM        , 6.5     
 , 2/27/2023 24:00 AM        , 20.8    
 , 2/28/2023 24:00 AM        , 10.6    
 , 3/1/2023 24:00 AM         , 6.9     
 , 3/2/2023 24:00 AM         , 1.6     
 , 3/3/2023 24:00 AM         , 5.2     
 , 3/4/2023 24:00 AM         , 11.2    
 , 3/5/2023 24:00 AM         , 3.1     
 , 3/6/2023 24:00 AM         , 5.4     
 , 3/7/2023 24:00 AM         , 10.1    
 , 3/8/2023 24:00 AM         , 9.2     
 , 3/9/2023 24:00 AM         , 18.3    
 , 3/10/2023 24:00 AM        , 10.1    
 , 3/11/2023 24:00 AM        , 6.6     
 , 3/12/2023 24:00 AM        , 7.3     
 , 3/13/2023 24:00 AM        , 8.7     
 , 3/14/2023 24:00 AM        , 9.2     
 , 3/15/2023 24:00 AM        , 9.8     
 , 3/16/2023 24:00 AM        , 16.9    
 , 3/17/2023 24:00 AM        , 19.1    
 , 3/18/2023 24:00 AM        , 22.4    
 , 3/19/2023 24:00 AM        , 16.5    
 , 3/20/2023 24:00 AM        , 9.9     
 , 3/21/2023 24:00 AM        , 18.8    
 , 3/22/2023 24:00 AM        , 19.7    
 , 3/23/2023 24:00 AM        , 16.4    
 , 3/24/2023 24:00 AM        , 11.0    
 , 3/25/2023 24:00 AM        , 7.7     
 , 3/26/2023 24:00 AM        , 4.9     
 , 3/27/2023 24:00 AM        , 4.7     
 , 3/28/2023 24:00 AM        , 9.9     
 , 3/29/2023 24:00 AM        , 13.7    
 , 3/30/2023 24:00 AM        , 13.4    
 , 3/31/2023 24:00 AM        , 10.0    
 , 4/1/2023 24:00 AM         , 3.2     
 , 4/2/2023 24:00 AM         , 4.6     
 , 4/3/2023 24:00 AM         , 8.0     
 , 4/4/2023 24:00 AM         , 8.7     
 , 4/5/2023 24:00 AM         , 8.3     
 , 4/6/2023 24:00 AM         , 2.9     
 , 4/7/2023 24:00 AM         , 5.3     
 , 4/8/2023 24:00 AM         , 6.0     
 , 4/9/2023 24:00 AM         , 2.4     
 , 4/10/2023 24:00 AM        , 4.4     
 , 4/11/2023 24:00 AM        , 6.1     
 , 4/12/2023 24:00 AM        , 3.2     
 , 4/13/2023 24:00 AM        , 4.6     
 , 4/14/2023 24:00 AM        , 6.3     
 , 4/15/2023 24:00 AM        , 6.3     
 , 4/16/2023 24:00 AM        , 4.7     
 , 4/17/2023 24:00 AM        , 4.8     
 , 4/18/2023 24:00 AM        , 8.7     
 , 4/19/2023 24:00 AM        , 8.2     
 , 4/20/2023 24:00 AM        , 9.1     
 , 4/21/2023 24:00 AM        , 8.7     
 , 4/22/2023 24:00 AM        , 5.8     
 , 4/23/2023 24:00 AM        , 5.6     
 , 4/24/2023 24:00 AM        , 3.5     
 , 4/25/2023 24:00 AM        , 6.2     
 , 4/26/2023 24:00 AM        , 5.1     
 , 4/27/2023 24:00 AM        , 6.4     
 , 4/28/2023 24:00 AM        , 14.3    
 , 4/29/2023 24:00 AM        , 14.0    
 , 4/30/2023 24:00 AM        , 10.1    
 , 5/1/2023 24:00 AM         , 7.9     
 , 5/2/2023 24:00 AM         , 8.8     
 , 5/3/2023 24:00 AM         , 13.6    
 , 5/4/2023 24:00 AM         , 12.0    
 , 5/5/2023 24:00 AM         , 12.1    
 , 5/6/2023 24:00 AM         , 4.1     
 , 5/7/2023 24:00 AM         , 3.5     
 , 5/8/2023 24:00 AM         , 7.1     
 , 5/9/2023 24:00 AM         , 25.0    
 , 5/10/2023 24:00 AM        , 29.2    
 , 5/11/2023 24:00 AM        , 12.7    
 , 5/12/2023 24:00 AM        , 9.0     
 , 5/13/2023 24:00 AM        , 27.3    
 , 5/14/2023 24:00 AM        , 23.6    
 , 5/15/2023 24:00 AM        , 27.8    
 , 5/16/2023 24:00 AM        , 97.9    
 , 5/17/2023 24:00 AM        , 72.9    
 , 5/18/2023 24:00 AM        , 79.6    
 , 5/19/2023 24:00 AM        , 23.3    
 , 5/20/2023 24:00 AM        , 7.8     
 , 5/21/2023 24:00 AM        , 5.6     
 , 5/22/2023 24:00 AM        , 4.5     
 , 5/23/2023 24:00 AM        , 9.1     
 , 5/24/2023 24:00 AM        , 13.5    
 , 5/25/2023 24:00 AM        , 11.5    
 , 5/26/2023 24:00 AM        , 9.9     
 , 5/27/2023 24:00 AM        , 5.6     
 , 5/28/2023 24:00 AM        , 4.6     
 , 5/29/2023 24:00 AM        , 4.1     
 , 5/30/2023 24:00 AM        , 7.5     
 , 5/31/2023 24:00 AM        , 5.2     
 , 6/1/2023 24:00 AM         , 6.2     
 , 6/2/2023 24:00 AM         , 10.6    
 , 6/3/2023 24:00 AM         , 5.5     
 , 6/4/2023 24:00 AM         , 5.0     
 , 6/5/2023 24:00 AM         , 3.6     
 , 6/6/2023 24:00 AM         , 10.0    
 , 6/7/2023 24:00 AM         , 14.9    
 , 6/8/2023 24:00 AM         , 19.8    
