Station:Kamloops Federal Building -  , Date Time                 , PM25    
 ,                           , ug/m3   
 , 9/24/2024 24:00 AM        , 4.7     
 , 9/25/2024 24:00 AM        , 2.5     
 , 9/26/2024 24:00 AM        , 1.2     
 , 9/27/2024 24:00 AM        , 1.9     
 , 9/28/2024 24:00 AM        , 3.7     
 , 9/29/2024 24:00 AM        , 5.1     
 , 9/30/2024 24:00 AM        , 1.2     
 , 10/1/2024 24:00 AM        , 2.1     
 , 10/2/2024 24:00 AM        , 6.4     
 , 10/3/2024 24:00 AM        , 2.9     
 , 10/4/2024 24:00 AM        , 1.0     
 , 10/5/2024 24:00 AM        , 2.0     
 , 10/6/2024 24:00 AM        , 3.6     
 , 10/7/2024 24:00 AM        , 4.7     
 , 10/8/2024 24:00 AM        , 2.1     
 , 10/9/2024 24:00 AM        , 4.7     
 , 10/10/2024 24:00 AM       , 4.1     
 , 10/11/2024 24:00 AM       , 5.4     
 , 10/12/2024 24:00 AM       , 7.3     
 , 10/13/2024 24:00 AM       , 7.3     
 , 10/14/2024 24:00 AM       , 8.3     
 , 10/15/2024 24:00 AM       , 6.7     
 , 10/16/2024 24:00 AM       , 2.3     
 , 10/17/2024 24:00 AM       , 3.3     
 , 10/18/2024 24:00 AM       , 1.6     
 , 10/19/2024 24:00 AM       , 0.9     
 , 10/20/2024 24:00 AM       , 2.6     
 , 10/21/2024 24:00 AM       , 1.1     
 , 10/22/2024 24:00 AM       , 5.2     
 , 10/23/2024 24:00 AM       , 6.0     
 , 10/24/2024 24:00 AM       , 7.0     
 , 10/25/2024 24:00 AM       , 9.3     
 , 10/26/2024 24:00 AM       , 7.9     
 , 10/27/2024 24:00 AM       , 1.9     
 , 10/28/2024 24:00 AM       , 1.8     
 , 10/29/2024 24:00 AM       , 3.4     
 , 10/30/2024 24:00 AM       , 4.9     
 , 10/31/2024 24:00 AM       , 11.0    
 , 11/1/2024 24:00 AM        , 5.8     
 , 11/2/2024 24:00 AM        , 6.9     
 , 11/3/2024 24:00 AM        , 8.7     
 , 11/4/2024 24:00 AM        , 2.3     
 , 11/5/2024 24:00 AM        , 3.0     
 , 11/6/2024 24:00 AM        , 5.0     
 , 11/7/2024 24:00 AM        , 8.6     
 , 11/8/2024 24:00 AM        , 13.1    
 , 11/9/2024 24:00 AM        , 16.3    
 , 11/10/2024 24:00 AM       , 12.4    
 , 11/11/2024 24:00 AM       , 2.4     
 , 11/12/2024 24:00 AM       , 3.6     
 , 11/13/2024 24:00 AM       , 3.5     
 , 11/14/2024 24:00 AM       , 9.5     
 , 11/15/2024 24:00 AM       , 7.4     
 , 11/16/2024 24:00 AM       , 2.5     
 , 11/17/2024 24:00 AM       , 5.8     
 , 11/18/2024 24:00 AM       , 11.6    
 , 11/19/2024 24:00 AM       , 4.8     
 , 11/20/2024 24:00 AM       , 3.1     
 , 11/21/2024 24:00 AM       , 11.0    
 , 11/22/2024 24:00 AM       , 7.1     
 , 11/23/2024 24:00 AM       , 8.7     
 , 11/24/2024 24:00 AM       , 8.6     
 , 11/25/2024 24:00 AM       , 7.3     
 , 11/26/2024 24:00 AM       , 6.8     
 , 11/27/2024 24:00 AM       , 9.7     
 , 11/28/2024 24:00 AM       , 13.2    
 , 11/29/2024 24:00 AM       , 11.2    
 , 11/30/2024 24:00 AM       , 7.9     
 , 12/1/2024 24:00 AM        , 5.8     
 , 12/2/2024 24:00 AM        , 7.6     
 , 12/3/2024 24:00 AM        , 10.6    
 , 12/4/2024 24:00 AM        , 9.8     
 , 12/5/2024 24:00 AM        , 7.5     
 , 12/6/2024 24:00 AM        , 6.6     
 , 12/7/2024 24:00 AM        , 6.2     
 , 12/8/2024 24:00 AM        , 13.6    
 , 12/9/2024 24:00 AM        , 6.9     
 , 12/10/2024 24:00 AM       , 8.4     
 , 12/11/2024 24:00 AM       , 9.7     
 , 12/12/2024 24:00 AM       , 10.0    
 , 12/13/2024 24:00 AM       , 8.4     
 , 12/14/2024 24:00 AM       , 2.4     
 , 12/15/2024 24:00 AM       , 3.3     
 , 12/16/2024 24:00 AM       , 5.2     
 , 12/17/2024 24:00 AM       , 5.9     
 , 12/18/2024 24:00 AM       , 6.7     
 , 12/19/2024 24:00 AM       , 3.2     
 , 12/20/2024 24:00 AM       , 3.9     
 , 12/21/2024 24:00 AM       , 3.7     
 , 12/22/2024 24:00 AM       , 3.7     
 , 12/23/2024 24:00 AM       , 3.7     
 , 12/24/2024 24:00 AM       , 1.4     
 , 12/25/2024 24:00 AM       , 1.9     
 , 12/26/2024 24:00 AM       , 3.0     
 , 12/27/2024 24:00 AM       , 5.5     
 , 12/28/2024 24:00 AM       , 5.4     
 , 12/29/2024 24:00 AM       , 5.0     
 , 12/30/2024 24:00 AM       , 6.5     
 , 12/31/2024 24:00 AM       , 4.5     
 , 1/1/2025 24:00 AM         , 4.2     
 , 1/2/2025 24:00 AM         , 4.8     
 , 1/3/2025 24:00 AM         , 4.5     
 , 1/4/2025 24:00 AM         , 6.8     
 , 1/5/2025 24:00 AM         , 11.9    
 , 1/6/2025 24:00 AM         , 8.1     
 , 1/7/2025 24:00 AM         , 4.7     
 , 1/8/2025 24:00 AM         , 8.4     
 , 1/9/2025 24:00 AM         , 7.2     
 , 1/10/2025 24:00 AM        , 4.0     
 , 1/11/2025 24:00 AM        , 5.0     
 , 1/12/2025 24:00 AM        , 7.8     
 , 1/13/2025 24:00 AM        , 10.3    
 , 1/14/2025 24:00 AM        , 10.2    
 , 1/15/2025 24:00 AM        , 8.0     
 , 1/16/2025 24:00 AM        , 7.3     
 , 1/17/2025 24:00 AM        , 4.3     
 , 1/18/2025 24:00 AM        , 6.8     
 , 1/19/2025 24:00 AM        , 7.0     
 , 1/20/2025 24:00 AM        , 7.2     
 , 1/21/2025 24:00 AM        , 11.9    
 , 1/22/2025 24:00 AM        , 11.3    
 , 1/23/2025 24:00 AM        , 11.4    
 , 1/24/2025 24:00 AM        , 12.0    
 , 1/25/2025 24:00 AM        , 11.3    
 , 1/26/2025 24:00 AM        , 11.2    
 , 1/27/2025 24:00 AM        , 10.9    
 , 1/28/2025 24:00 AM        , 8.5     
 , 1/29/2025 24:00 AM        , 10.1    
 , 1/30/2025 24:00 AM        , 11.1    
 , 1/31/2025 24:00 AM        , 7.0     
 , 2/1/2025 24:00 AM         , 3.8     
 , 2/2/2025 24:00 AM         , 6.0     
 , 2/3/2025 24:00 AM         , 6.1     
 , 2/4/2025 24:00 AM         , 7.1     
 , 2/5/2025 24:00 AM         , 7.5     
 , 2/6/2025 24:00 AM         , 7.8     
 , 2/7/2025 24:00 AM         , 9.7     
 , 2/8/2025 24:00 AM         , 9.5     
 , 2/9/2025 24:00 AM         , 8.9     
 , 2/10/2025 24:00 AM        , 6.7     
 , 2/11/2025 24:00 AM        , 8.1     
 , 2/12/2025 24:00 AM        , 8.3     
 , 2/13/2025 24:00 AM        , 11.0    
 , 2/14/2025 24:00 AM        , 12.6    
 , 2/15/2025 24:00 AM        , 10.3    
 , 2/16/2025 24:00 AM        , 9.4     
 , 2/17/2025 24:00 AM        , 7.3     
 , 2/18/2025 24:00 AM        , 8.4     
 , 2/19/2025 24:00 AM        , 3.7     
 , 2/20/2025 24:00 AM        , 7.4     
 , 2/21/2025 24:00 AM        , 3.4     
 , 2/22/2025 24:00 AM        , 2.0     
 , 2/23/2025 24:00 AM        , 1.7     
 , 2/24/2025 24:00 AM        , 4.0     
 , 2/25/2025 24:00 AM        , 4.0     
 , 2/26/2025 24:00 AM        , 5.2     
 , 2/27/2025 24:00 AM        , 5.6     
 , 2/28/2025 24:00 AM        , 9.5     
 , 3/1/2025 24:00 AM         , 8.6     
 , 3/2/2025 24:00 AM         , 8.4     
 , 3/3/2025 24:00 AM         , 6.6     
 , 3/4/2025 24:00 AM         , 5.3     
 , 3/5/2025 24:00 AM         , 5.3     
 , 3/6/2025 24:00 AM         , 8.8     
 , 3/7/2025 24:00 AM         , 5.1     
 , 3/8/2025 24:00 AM         , 4.2     
 , 3/9/2025 24:00 AM         , 3.0     
 , 3/10/2025 24:00 AM        , 3.8     
 , 3/11/2025 24:00 AM        , 3.6     
 , 3/12/2025 24:00 AM        , 5.4     
 , 3/13/2025 24:00 AM        , 6.8     
 , 3/14/2025 24:00 AM        , 4.0     
 , 3/15/2025 24:00 AM        , 3.9     
 , 3/16/2025 24:00 AM        , 3.6     
 , 3/17/2025 24:00 AM        , 6.1     
 , 3/18/2025 24:00 AM        , 3.9     
 , 3/19/2025 24:00 AM        , 2.7     
 , 3/20/2025 24:00 AM        , 2.5     
 , 3/21/2025 24:00 AM        , 2.7     
 , 3/22/2025 24:00 AM        , 4.8     
 , 3/23/2025 24:00 AM        , 2.5     
 , 3/24/2025 24:00 AM        , 6.3     
 , 3/25/2025 24:00 AM        , 3.7     
 , 3/26/2025 24:00 AM        , 6.4     
 , 3/27/2025 24:00 AM        , 6.5     
 , 3/28/2025 24:00 AM        , 3.0     
 , 3/29/2025 24:00 AM        , 4.7     
 , 3/30/2025 24:00 AM        , 4.1     
 , 3/31/2025 24:00 AM        , 4.3     
 , 4/1/2025 24:00 AM         , 5.7     
 , 4/2/2025 24:00 AM         , 6.3     
 , 4/3/2025 24:00 AM         , 5.4     
 , 4/4/2025 24:00 AM         , 7.1     
 , 4/5/2025 24:00 AM         , 5.4     
 , 4/6/2025 24:00 AM         , 3.7     
 , 4/7/2025 24:00 AM         , 2.9     
 , 4/8/2025 24:00 AM         , 1.3     
 , 4/9/2025 24:00 AM         , 1.9     
 , 4/10/2025 24:00 AM        , 3.3     
 , 4/11/2025 24:00 AM        , 4.3     
 , 4/12/2025 24:00 AM        , 3.2     
 , 4/13/2025 24:00 AM        , 5.0     
 , 4/14/2025 24:00 AM        , 6.0     
 , 4/15/2025 24:00 AM        , 5.8     
 , 4/16/2025 24:00 AM        , 2.6     
 , 4/17/2025 24:00 AM        , 4.5     
 , 4/18/2025 24:00 AM        , 5.1     
 , 4/19/2025 24:00 AM        , 3.9     
 , 4/20/2025 24:00 AM        , 3.4     
 , 4/21/2025 24:00 AM        , 2.8     
 , 4/22/2025 24:00 AM        , 4.1     
 , 4/23/2025 24:00 AM        , 5.6     
 , 4/24/2025 24:00 AM        , 4.3     
 , 4/25/2025 24:00 AM        , 7.6     
 , 4/26/2025 24:00 AM        , 7.2     
 , 4/27/2025 24:00 AM        , 4.2     
 , 4/28/2025 24:00 AM        , 3.2     
 , 4/29/2025 24:00 AM        , 3.4     
 , 4/30/2025 24:00 AM        , 5.6     
 , 5/1/2025 24:00 AM         , 6.4     
 , 5/2/2025 24:00 AM         , 6.7     
 , 5/3/2025 24:00 AM         , 2.8     
 , 5/4/2025 24:00 AM         , 2.7     
 , 5/5/2025 24:00 AM         , 4.0     
 , 5/6/2025 24:00 AM         , 6.9     
 , 5/7/2025 24:00 AM         , 7.3     
 , 5/8/2025 24:00 AM         , 3.3     
 , 5/9/2025 24:00 AM         , 5.4     
 , 5/10/2025 24:00 AM        , 5.2     
 , 5/11/2025 24:00 AM        , 4.2     
 , 5/12/2025 24:00 AM        , 3.6     
 , 5/13/2025 24:00 AM        , 5.7     
 , 5/14/2025 24:00 AM        , 5.1     
 , 5/15/2025 24:00 AM        , 3.7     
 , 5/16/2025 24:00 AM        , 2.5     
 , 5/17/2025 24:00 AM        , 3.1     
 , 5/18/2025 24:00 AM        , 4.0     
 , 5/19/2025 24:00 AM        , 2.0     
 , 5/20/2025 24:00 AM        , 1.6     
 , 5/21/2025 24:00 AM        , 4.3     
 , 5/22/2025 24:00 AM        , 3.5     
 , 5/23/2025 24:00 AM        , 4.4     
 , 5/24/2025 24:00 AM        , 4.5     
 , 5/25/2025 24:00 AM        , 7.3     
 , 5/26/2025 24:00 AM        , 2.5     
 , 5/27/2025 24:00 AM        , 4.1     
 , 5/28/2025 24:00 AM        , 7.1     
 , 5/29/2025 24:00 AM        , 3.4     
 , 5/30/2025 24:00 AM        , 4.6     
 , 5/31/2025 24:00 AM        , 5.5     
 , 6/1/2025 24:00 AM         , 6.2     
 , 6/2/2025 24:00 AM         , 5.1     
 , 6/3/2025 24:00 AM         , 3.4     
 , 6/4/2025 24:00 AM         , 5.5     
 , 6/5/2025 24:00 AM         , 7.3     
 , 6/6/2025 24:00 AM         , 6.0     
 , 6/7/2025 24:00 AM         , 4.3     
 , 6/8/2025 24:00 AM         , 6.1     
 , 6/9/2025 24:00 AM         , 6.8     
 , 6/10/2025 24:00 AM        , 6.8     
 , 6/11/2025 24:00 AM        , 8.4     
 , 6/12/2025 24:00 AM        , 9.0     
 , 6/13/2025 24:00 AM        , 5.5     
 , 6/14/2025 24:00 AM        , 5.6     
 , 6/15/2025 24:00 AM        , 7.3     
 , 6/16/2025 24:00 AM        , 12.4    
 , 6/17/2025 24:00 AM        , 6.0     
 , 6/18/2025 24:00 AM        , 2.9     
 , 6/19/2025 24:00 AM        , 3.9     
 , 6/20/2025 24:00 AM        , 5.7     
 , 6/21/2025 24:00 AM        , 7.5     
 , 6/22/2025 24:00 AM        , 13.9    
 , 6/23/2025 24:00 AM        , 7.5     
 , 6/24/2025 24:00 AM        , 7.7     
 , 6/25/2025 24:00 AM        , 6.0     
 , 6/26/2025 24:00 AM        , 7.0     
 , 6/27/2025 24:00 AM        , 1.8     
 , 6/28/2025 24:00 AM        , 4.2     
 , 6/29/2025 24:00 AM        , 5.7     
 , 6/30/2025 24:00 AM        , 8.9     
 , 7/1/2025 24:00 AM         , 6.7     
 , 7/2/2025 24:00 AM         , 3.8     
 , 7/3/2025 24:00 AM         , 3.4     
 , 7/4/2025 24:00 AM         , 6.0     
 , 7/5/2025 24:00 AM         , 6.5     
 , 7/6/2025 24:00 AM         , 3.5     
 , 7/7/2025 24:00 AM         , 7.1     
 , 7/8/2025 24:00 AM         ,         
 , 7/9/2025 24:00 AM         ,         
